draw_date,draw_number,n1,n2,n3,n4,n5,mega
2011-08-31,2547,2,22,27,31,32,11
2011-09-03,2548,13,30,39,42,47,5
2011-09-07,2549,7,15,34,41,42,8
2011-09-10,2550,7,11,15,20,34,2
2011-09-14,2551,9,15,18,32,36,27
2011-09-17,2552,7,12,14,16,37,14
2011-09-21,2553,4,26,31,35,45,4
2011-09-28,2555,6,13,24,29,44,3
2011-10-01,2556,3,5,13,15,21,9
2011-10-05,2557,15,25,29,30,37,26
2011-10-08,2558,27,32,35,45,46,21
2011-10-12,2559,2,28,35,44,47,21
2011-10-15,2560,2,18,25,32,46,15
2011-10-19,2561,13,29,33,37,40,9
2011-10-22,2562,21,27,34,39,45,22
2011-10-26,2563,15,20,25,40,41,20
2011-10-29,2564,5,7,39,46,47,6
2011-11-02,2565,2,7,22,27,32,12
2011-11-05,2566,3,8,10,16,22,11
2011-11-09,2567,2,17,33,35,41,9
2011-11-12,2568,21,22,25,28,43,12
2011-11-16,2569,22,23,26,38,42,3
2011-11-19,2570,4,18,21,33,39,7
2011-11-23,2571,6,13,30,31,45,2
2011-11-26,2572,15,16,28,33,38,23
2011-11-30,2573,4,6,22,32,45,8
2011-12-03,2574,1,12,19,29,34,12
2011-12-07,2575,1,2,34,37,42,9
2011-12-10,2576,7,15,31,32,47,24
2011-12-14,2577,7,27,33,42,44,24
2011-12-17,2578,17,23,29,37,46,17
2011-12-21,2579,8,21,38,43,44,24
2011-12-24,2580,12,15,37,42,43,8
2011-12-28,2581,12,22,28,31,42,2
2011-12-31,2582,1,16,27,33,46,25
2012-01-04,2583,15,30,34,41,45,20
2012-01-07,2584,2,5,16,31,35,14
2012-01-11,2585,2,5,11,12,30,24
2012-01-14,2586,4,8,25,29,38,13
2012-01-18,2587,2,13,25,32,45,23
2012-01-21,2588,16,18,23,40,46,4
2012-01-25,2589,1,30,33,43,46,9
2012-01-28,2590,10,15,33,34,37,8
2012-02-01,2591,2,13,19,39,46,26
2012-02-04,2592,8,12,25,33,45,5
2012-02-08,2593,11,24,26,36,38,13
2012-02-11,2594,1,2,18,34,43,27
2012-02-15,2595,3,5,16,25,37,16
2012-02-18,2596,1,19,32,41,42,11
2012-02-22,2597,1,34,37,39,41,10
2012-02-25,2598,2,8,12,15,22,12
2012-02-29,2599,11,13,17,24,47,10
2012-03-03,2600,2,4,6,7,18,8
2012-03-07,2601,11,18,21,30,34,6
2012-03-10,2602,14,24,28,35,40,19
2012-03-14,2603,28,32,33,34,45,21
2012-03-17,2604,2,13,20,25,37,15
2012-03-21,2605,8,21,31,40,42,2
2012-03-24,2606,8,19,24,26,36,25
2012-03-28,2607,17,23,34,41,43,11
2012-03-31,2608,2,12,15,25,47,13
2012-04-04,2609,7,21,26,28,30,10
2012-04-07,2610,9,16,25,45,47,5
2012-04-11,2611,13,15,17,29,41,10
2012-04-14,2612,1,3,19,36,45,8
2012-04-18,2613,5,7,8,10,29,16
2012-04-21,2614,9,20,30,37,41,5
2012-04-25,2615,12,15,19,20,28,21
2012-04-28,2616,7,12,20,21,40,11
2012-05-02,2617,6,11,18,32,43,26
2012-05-05,2618,25,28,29,37,42,18
2012-05-09,2619,2,21,31,43,47,27
2012-05-12,2620,10,24,26,30,35,6
2012-05-16,2621,9,15,17,24,35,18
2012-05-19,2622,4,13,15,26,46,2
2012-05-23,2623,7,19,26,30,34,13
2012-05-26,2624,11,17,40,44,45,23
2012-05-30,2625,7,14,23,26,31,5
2012-06-02,2626,1,15,20,30,40,13
2012-06-06,2627,4,18,21,23,42,26
2012-06-09,2628,2,18,22,28,40,10
2012-06-13,2629,1,4,11,13,44,16
2012-06-16,2630,5,36,37,42,43,24
2012-06-20,2631,4,7,9,16,25,17
2012-06-23,2632,2,3,10,22,25,7
2012-06-27,2633,4,19,38,42,44,19
2012-06-30,2634,4,22,23,32,39,23
2012-07-04,2635,1,8,22,33,37,7
2012-07-07,2636,7,27,41,42,46,1
2012-07-11,2637,12,21,39,40,43,26
2012-07-14,2638,2,6,8,12,19,23
2012-07-18,2639,16,18,19,29,38,9
2012-07-21,2640,8,19,23,24,30,23
2012-07-25,2641,3,8,17,20,44,23
2012-07-28,2642,14,19,22,36,40,3
2012-08-01,2643,2,11,36,40,45,13
2012-08-04,2644,5,18,28,43,44,24
2012-08-08,2645,6,22,31,36,43,18
2012-08-11,2646,6,19,39,40,43,24
2012-08-15,2647,2,18,23,24,39,5
2012-08-18,2648,4,18,19,42,43,25
2012-08-22,2649,4,11,22,34,40,9
2012-08-25,2650,4,7,11,15,38,4
2012-08-29,2651,19,26,32,34,42,1
2012-09-01,2652,14,17,31,42,47,13
2012-09-05,2653,5,10,12,20,29,25
2012-09-08,2654,4,6,22,29,47,27
2012-09-12,2655,7,8,14,23,41,13
2012-09-15,2656,1,6,7,19,36,16
2012-09-19,2657,5,11,28,34,39,15
2012-09-22,2658,4,7,13,28,34,4
2012-09-26,2659,13,18,31,38,44,25
2012-09-29,2660,3,4,27,30,39,3
2012-10-03,2661,8,12,13,29,36,10
2012-10-06,2662,3,9,15,17,31,25
2012-10-10,2663,21,35,40,44,47,11
2012-10-13,2664,4,5,25,43,45,25
2012-10-17,2665,4,19,25,40,42,3
2012-10-20,2666,20,22,26,27,43,16
2012-10-24,2667,20,26,36,41,42,16
2012-10-27,2668,5,14,36,38,47,18
2012-10-31,2669,9,16,29,31,40,20
2012-11-03,2670,11,14,20,36,39,11
2012-11-07,2671,13,25,29,40,46,21
2012-11-10,2672,12,14,22,32,46,24
2012-11-14,2673,11,15,25,31,32,18
2012-11-17,2674,8,9,16,22,26,15
2012-11-21,2675,1,2,7,19,47,14
2012-11-24,2676,2,11,12,26,42,7
2012-11-28,2677,2,9,13,21,46,23
2012-12-01,2678,4,17,18,32,46,24
2012-12-05,2679,11,15,17,30,37,11
2012-12-08,2680,17,24,30,33,45,22
2012-12-12,2681,1,36,41,44,47,10
2012-12-15,2682,11,15,24,26,28,10
2012-12-19,2683,6,9,11,28,45,7
2012-12-22,2684,7,12,20,32,39,20
2012-12-26,2685,2,9,24,33,37,1
2012-12-29,2686,6,9,20,28,33,19
2013-01-02,2687,4,6,22,24,29,18
2013-01-05,2688,2,14,15,37,43,23
2013-01-09,2689,3,8,18,40,45,26
2013-01-12,2690,10,11,27,34,39,27
2013-01-16,2691,26,30,32,37,45,16
2013-01-19,2692,5,10,26,28,43,9
2013-01-23,2693,8,16,22,30,33,4
2013-01-26,2694,4,10,23,24,44,23
2013-01-30,2695,7,22,35,36,37,4
2013-02-02,2696,7,12,15,17,37,25
2013-02-06,2697,1,8,12,32,41,21
2013-02-09,2698,16,32,35,40,47,24
2013-02-13,2699,16,17,20,32,36,10
2013-02-16,2700,13,14,19,35,45,20
2013-02-20,2701,8,14,32,35,37,4
2013-02-23,2702,8,28,32,43,44,11
2013-02-27,2703,5,6,12,15,39,18
2013-03-02,2704,5,10,26,43,44,16
2013-03-06,2705,1,2,3,22,34,8
2013-03-09,2706,3,11,21,36,47,7
2013-03-13,2707,22,23,34,40,42,9
2013-03-16,2708,14,23,28,30,35,24
2013-03-20,2709,8,11,13,22,26,18
2013-03-23,2710,4,11,21,26,46,6
2013-03-27,2711,4,10,29,36,44,17
2013-03-30,2712,5,22,28,37,43,19
2013-04-03,2713,15,21,25,31,44,27
2013-04-06,2714,20,21,32,37,41,22
2013-04-10,2715,9,18,37,41,42,3
2013-04-13,2716,12,14,29,39,41,26
2013-04-17,2717,1,3,5,23,29,15
2013-04-20,2718,3,15,26,32,39,6
2013-04-24,2719,5,25,32,33,46,26
2013-04-27,2720,21,32,36,39,40,25
2013-05-01,2721,9,14,16,18,19,24
2013-05-04,2722,11,13,15,17,26,26
2013-05-08,2723,9,27,28,34,47,6
2013-05-11,2724,30,31,32,34,39,6
2013-05-15,2725,13,17,18,33,46,7
2013-05-18,2726,7,12,30,40,47,16
2013-05-22,2727,19,24,32,45,47,14
2013-05-25,2728,2,11,12,25,32,26
2013-05-29,2729,12,36,37,44,47,13
2013-06-01,2730,6,9,10,25,45,4
2013-06-05,2731,5,8,28,35,39,8
2013-06-08,2732,10,23,30,38,43,8
2013-06-12,2733,30,38,41,42,43,22
2013-06-15,2734,30,33,41,44,47,7
2013-06-19,2735,3,5,32,34,36,20
2013-06-22,2736,9,23,25,27,34,12
2013-06-26,2737,4,20,26,31,36,22
2013-06-29,2738,6,26,30,41,44,8
2013-07-03,2739,14,35,36,40,47,6
2013-07-06,2740,2,18,20,21,45,24
2013-07-10,2741,1,2,3,28,38,21
2013-07-13,2742,1,2,6,25,40,19
2013-07-17,2743,12,17,22,25,37,24
2013-07-20,2744,10,13,27,33,34,23
2013-07-24,2745,10,22,34,37,47,23
2013-07-27,2746,18,20,30,40,42,15
2013-07-31,2747,15,17,29,32,41,23
2013-08-03,2748,12,32,39,46,47,5
2013-08-07,2749,21,29,31,35,45,2
2013-08-10,2750,5,7,14,44,46,27
2013-08-14,2751,1,7,15,31,43,3
2013-08-17,2752,5,8,19,21,37,12
2013-08-21,2753,17,29,36,41,43,17
